bid_id,bidder_id,auction,merchandise,device,time,country,ip,url
4400068,2240c4ebe5702228bbd2bb3b988de7086zge8,tv28g,mobile,phone46,9641480052631578,ch,171.19.253.149,vasstdc27m7nks3
758145,54fd91deb14e95c097c9b96092a6708azdeyi,lmudo,jewelry,phone59,9763727789473684,th,5.39.233.185,e0nk599jrnuptbk
797052,dbd340def489066ae13ffa5cd68e6d2917li7,4tuo8,jewelry,phone101,9763873736842105,tr,143.171.200.176,cq2ub5vwv0l35wz
2137840,e8291466de91b0eb4e1515143c7f74dexy2yr,owu7b,mobile,phone43,9771632947368421,nl,46.68.79.3,vasstdc27m7nks3
7007666,93e3c34171ab65e0b031dc67461e48b478u36,uvnl7,jewelry,phone25,9705263263157894,az,17.201.32.103,tg437xnqx1n5z9g
6917703,13b022681839a351f07d017c0edd9ed6ao2w5,f8kz2,jewelry,phone221,9704945052631578,ke,222.61.54.158,rz4dr4ubmsfa61u
1519753,fe37b8b29d26021ea9462bcc7c5bf5c2pbya7,lx703,jewelry,phone112,9768212210526315,in,179.211.20.199,nwbjbesavjs81da
6763417,e86fe25f084ebe7f2660ab4672ef73b1aauwq,hjdhr,office equipment,phone635,9704354157894736,vn,250.212.8.22,reid121n0tovsus
169245,f211ff014ed43c9054916f97d6187108mpxr6,2dfh7,mobile,phone72,9759767842105263,in,242.26.93.194,vasstdc27m7nks3
5201698,3489316a99dde30a00d6128a7189dca9p3tfu,cfw9q,mobile,phone349,9645468631578947,in,114.42.206.179,i2t224hi7lm8rhk
3960344,dd2d17efc6c340d5a9bd314b9aedbed3l5w1x,jqx39,jewelry,phone142,9639981947368421,in,126.134.165.12,vasstdc27m7nks3
5143772,f5b2bbad20d1d7ded3ed960393bec0f40u6hn,xogrk,sporting goods,phone4,9645230631578947,zm,230.236.226.213,vasstdc27m7nks3
3387760,9bae6fb0bf336f59f17d0ef0286d9d6bec61n,ip071,jewelry,phone99,9636718210526315,bn,96.13.159.107,3umfrkg9fbr7l4t
4736982,0ea62aaa9c3ffcc6db584cb69c1f6c4bcripp,a8plp,mobile,phone224,9643214421052631,tw,70.43.59.63,vasstdc27m7nks3
4430028,c277151116ce38d8245f9f2308807af8t4nnj,jqx39,home goods,phone267,9641566842105263,id,49.48.72.190,g7v2f9mm5axbmg8
7096015,66bb4d936cd2df2fb91200c082bc9051gigr8,no958,home goods,phone4,9705677000000000,gh,132.194.221.0,vasstdc27m7nks3
1168174,a58ace8b671a7531c88814bc86b2a34cf0crb,o6fr2,sporting goods,phone382,9765866684210526,ke,193.163.65.162,vasstdc27m7nks3
242370,aa5f360084278b35d746fa6af3a7a1a5ra3xe,2uu2n,home goods,phone139,9760076578947368,ng,97.249.214.117,vasstdc27m7nks3
1164706,cffb5f3c1f4ca815d0f643fcb2f2f316beod4,i2wqu,jewelry,phone165,9765831526315789,my,117.172.183.248,ji67sg2hre7vqzm
2700896,05068af5ba4645de987789f5a3248cd1a9nft,jqx39,sporting goods,phone178,9633063421052631,uk,117.22.153.104,5lvxudq5k3sp0wf
2476037,9655ccc7c0c193f1549475f02c54dce45kjw7,h06ig,sporting goods,phone432,9632219473684210,ar,194.109.120.27,vasstdc27m7nks3
3499495,b8283dc812128561db043121babe0c8akmmjv,l3fp5,home goods,phone2,9637085947368421,mx,125.237.151.17,vasstdc27m7nks3
4301358,13b022681839a351f07d017c0edd9ed6ao2w5,yjnms,jewelry,phone354,9641226526315789,ke,204.110.81.208,vasstdc27m7nks3
3312977,c6eaf26e94ac37b6ac49f6d36cb807f4j0ebx,z5713,books and music,phone25,9636522263157894,ng,224.130.156.216,vasstdc27m7nks3
2854023,b8283dc812128561db043121babe0c8akmmjv,z1klw,home goods,phone25,9634167894736842,cl,82.193.144.245,vasstdc27m7nks3
1284394,dbd340def489066ae13ffa5cd68e6d2917li7,btpyy,jewelry,phone65,9766763631578947,ru,97.154.136.53,f6cxntbrn2l9dne
7440064,f5b2bbad20d1d7ded3ed960393bec0f40u6hn,clqrn,sporting goods,phone5,9708132210526315,id,12.33.98.154,vasstdc27m7nks3
3156893,3350dc181383b032a6542a61c67713f9lmevm,oifwx,mobile,phone35,9635912631578947,mz,15.113.99.129,vasstdc27m7nks3
7391509,197e90906939267ace2422e78e8e83889znqp,du967,home goods,phone94,9707850263157894,tr,241.146.162.37,vasstdc27m7nks3
2723320,f5b2bbad20d1d7ded3ed960393bec0f40u6hn,ihm9a,sporting goods,phone101,9633176894736842,ng,252.77.13.68,cytu945dzvbxuf0
4936581,197e90906939267ace2422e78e8e83889znqp,du967,home goods,phone224,9644327789473684,tr,92.186.90.87,nkbys6uogjg18zs
2642621,d6517684989560cbb0da1fb2f5bbba9b9y2st,nkvoj,jewelry,phone681,9632809315789473,ng,204.25.160.216,vasstdc27m7nks3
917447,a58ace8b671a7531c88814bc86b2a34cf0crb,qv9tz,sporting goods,phone65,9764234842105263,id,50.75.106.132,vasstdc27m7nks3
5565933,047558bebab9292a5d4c85d6ee768784j2hdd,jqx39,jewelry,phone74,9697035947368421,in,239.67.133.179,vasstdc27m7nks3
5566317,551b0374c12278228b659d57d29dfe65ng2x4,afnk4,mobile,phone28,9697039473684210,mx,120.245.214.196,74o1maalb2n6g51
1504437,8393c48eaf4b8fa96886edc7cf27b372dsibi,7ugtp,jewelry,phone709,9768125631578947,in,5.191.185.231,vasstdc27m7nks3
5937480,32ecf3f8df9a62e3f0ccf44b7c86457473nz3,53vx3,jewelry,phone22,9699687526315789,my,60.126.108.190,evmeqkx9d4avorh
187918,6c8ffec692e88d81e1b18d47818abb04v6llr,i1aya,home goods,phone4,9759839315789473,tz,194.23.80.82,vasstdc27m7nks3
3692004,671fb1e314a1f480ba9ad9b5a1cf6a91w1k2f,436hc,jewelry,phone212,9638078684210526,om,39.148.210.161,zs0yqb7y9qi360z
7442639,66bb4d936cd2df2fb91200c082bc9051gigr8,948q5,home goods,phone393,9708146842105263,ke,151.206.83.9,vasstdc27m7nks3
1055901,4955e2c318d0bdca797ce17794ba18fblhaau,1z4m8,sporting goods,phone3,9764827473684210,in,180.58.214.57,vasstdc27m7nks3
5857654,7e3c8e01b890ea175bce8285d8c59d47el52w,9kcwh,home goods,phone2,9699238263157894,vn,36.156.18.40,vasstdc27m7nks3
2635584,29c103503e1d6ace5626fb07a5ab0dafrtjvs,122l6,jewelry,phone348,9632781368421052,in,176.88.152.2,vasstdc27m7nks3
516850,ffbc0fdfbf19a8a9116b68714138f2902cc13,t99yr,mobile,phone30,9762189315789473,ng,68.171.95.214,cc22226yqu61zkb
2204341,40efc98d259ee36a8c2a387ba49f39d0fa39h,jefix,jewelry,phone76,9772043684210526,id,205.167.57.96,bonyztd9crwbz63
6694797,626159dd6f2228ede002d9f9340f75b7puk8d,5umtc,jewelry,phone248,9703989947368421,ru,19.179.0.19,mfcwvr5r24mnme4
2633239,759b348d21e1f20ce55471813acba5ebm43ch,7vf3m,sporting goods,phone26,9632771631578947,ng,252.77.13.68,ucipz8gqh77j63i
4406127,6713e820273f591bdff7d26a48ee30c5k4iii,5s5ou,jewelry,phone4969,9641496736842105,ro,139.206.222.148,vasstdc27m7nks3
3714734,810ef44671565213729b65a33380f723s5shv,fevqx,mobile,phone534,9638290000000000,th,63.199.216.68,jxylu5tenf1cm9k
4054443,3350dc181383b032a6542a61c67713f9lmevm,oifwx,mobile,phone305,9640438368421052,mc,48.26.51.179,0byitx6emrcsv3w
4464914,13b022681839a351f07d017c0edd9ed6ao2w5,yjnms,jewelry,phone4,9641680736842105,ke,228.8.122.71,vasstdc27m7nks3
3365457,ac2d643e0c0d3bfe8e54e5a961c6cfdb5xn9v,cc5fs,furniture,phone4,9636655157894736,in,30.209.36.157,vasstdc27m7nks3
3206266,179a23cad40c51dd7804069bf769d11e1ftk9,jqx39,sporting goods,phone8,9636138473684210,us,163.121.206.32,c6fb7297f2b23x9
7244944,6e178db6d17d21aa88aaca5bf15c2761lc500,jqx39,jewelry,phone709,9706965000000000,in,2.54.151.191,jl546a04ld9kgr8
2976857,8c33cf751b05ca6a9d886a379a84a2ees9jlu,u077v,mobile,phone62,9634977315789473,au,73.31.238.13,vasstdc27m7nks3
856358,8dac2b259fd1c6d1120e519fb1ac14fbqvax8,8hp9m,jewelry,phone4,9764039578947368,in,48.199.219.53,vasstdc27m7nks3
5348752,197e90906939267ace2422e78e8e83889znqp,du967,home goods,phone129,9695974789473684,tr,5.101.183.26,vasstdc27m7nks3
5475725,2240c4ebe5702228bbd2bb3b988de7086zge8,7x2w0,mobile,phone269,9696451842105263,mx,93.117.49.29,vasstdc27m7nks3
71955,6c8ffec692e88d81e1b18d47818abb04v6llr,ewmzr,home goods,phone312,9759451157894736,us,221.231.105.38,glz55gq95ktzdqc
5621473,197e90906939267ace2422e78e8e83889znqp,fvtjj,home goods,phone94,9697586789473684,gt,249.2.56.33,enz4k69ffv4bjgo
3794854,700966013ae97127a88ddd166e4c11fb383s0,ciq3e,home goods,phone4,9638978947368421,in,150.141.246.61,vasstdc27m7nks3
3236291,9ae4c1edd949fe54b9665ee1ea56e9461bg0x,gdhh4,office equipment,phone142,9636258210526315,in,226.110.8.53,vasstdc27m7nks3
4566559,8482847bc2932bba537791e46a31e4bbv0h2m,ui8a6,home goods,phone588,9642054473684210,gh,13.31.35.207,1mib3xujr6vnl15
1596108,4955e2c318d0bdca797ce17794ba18fblhaau,1z4m8,sporting goods,phone8,9768491000000000,in,93.206.191.5,vasstdc27m7nks3
5189281,3350dc181383b032a6542a61c67713f9lmevm,1ftck,mobile,phone229,9645415947368421,hu,61.56.162.161,xx06vwz8dm2m6s7
553824,dd055846eb553ab8e953b084f2048d53bdqec,8qtjg,mobile,phone262,9762428473684210,iq,49.203.222.70,vasstdc27m7nks3
2175269,a58ace8b671a7531c88814bc86b2a34cf0crb,0pvd4,sporting goods,phone26,9771866210526315,ke,233.92.10.66,vasstdc27m7nks3
2587343,b8283dc812128561db043121babe0c8akmmjv,z1klw,home goods,phone2,9632595894736842,cl,43.74.60.246,vasstdc27m7nks3
3439017,6056cc81b7b0f4af70e7b520ece25ee7t9d8x,pbj61,mobile,phone134,9636878157894736,ir,95.41.10.229,gc9hl4q3r9jtc5z
5875146,b099ba75d90d7bd2d0ec500a4d9d943d11i5i,rimjm,sporting goods,phone28,9699339157894736,uk,48.221.187.94,62jopvfmezk5zc7
5029236,13b022681839a351f07d017c0edd9ed6ao2w5,4m8bu,jewelry,phone4,9644743894736842,ke,107.115.218.157,vasstdc27m7nks3
6304922,d6517684989560cbb0da1fb2f5bbba9b9y2st,4beml,jewelry,phone4,9701263368421052,ng,155.184.236.45,vasstdc27m7nks3
107118,3939ac3ef7d472a59a9c5f893dd3e39fh9ofi,jefix,jewelry,phone38,9759557263157894,in,252.121.37.2,zxb2fvkdlcakjgb
1036410,3426d39eba1ebce8b34a76f33e7b5bbfkg5qf,wp57x,sporting goods,phone101,9764721947368421,eg,126.9.214.73,vasstdc27m7nks3
620232,46a28eaed47c29b4fd148a50cde44840u0bsn,h1ko2,mobile,phone428,9762869105263157,tr,110.107.69.234,vasstdc27m7nks3
2329030,dd055846eb553ab8e953b084f2048d53bdqec,3vi4t,mobile,phone128,9772766000000000,ua,124.112.0.129,vasstdc27m7nks3
2283591,49751ca502ec6b3a75de1ed1f96cfd50upx4i,jefix,jewelry,phone3,9772516052631578,vn,170.182.74.30,bbvubcapw9skzhu
6138018,5a25525333d74693cb085d7e137be1e3ic8lz,b2ni9,jewelry,phone155,9700498736842105,my,72.240.146.87,in3wx8p1lht2bgl
4053672,df9c1ff5db85fc35e9cf0d37527d7b39824r2,pqfbq,sporting goods,phone2,9640435157894736,ma,94.168.46.238,q82yqqwiwtfzid7
747899,6c8ffec692e88d81e1b18d47818abb04v6llr,veq9j,home goods,phone33,9763671578947368,za,149.247.222.82,vasstdc27m7nks3
4494171,810ef44671565213729b65a33380f723s5shv,kh55q,mobile,phone223,9641781736842105,jo,148.43.189.139,yfejwp1vrjp5bqa
1316043,2c31770e98fc9fc7e0f1fee6207b5600c0e10,6vwpa,home goods,phone199,9766967526315789,my,151.242.233.80,7kj8xnzg79cih2p
2930574,9655ccc7c0c193f1549475f02c54dce45kjw7,dcskv,sporting goods,phone327,9634706421052631,ru,243.109.10.195,vasstdc27m7nks3
813403,78a1b6274a28a1855788702d59793c18872nv,85oc6,mobile,phone28,9763918736842105,sa,166.248.204.65,nep5tkb0nxnb59u
822316,1f48bca2af85574dfde2f9624ebbb1d9uelin,1z4m8,sporting goods,phone3,9763943578947368,in,207.253.4.71,4099nqlymv4dqkb
6933658,5f396342c01ff7224e6b8beacbaac1abz1dfo,outre,mobile,phone224,9704997736842105,us,10.69.195.142,vasstdc27m7nks3
4276036,197e90906939267ace2422e78e8e83889znqp,pqi2m,home goods,phone657,9641164631578947,in,121.100.64.22,vasstdc27m7nks3
2957982,06a58d4af0fe7ee15324b0e921e8de1260vef,jqx39,mobile,phone159,9634874473684210,bd,57.101.190.69,vasstdc27m7nks3
7542366,66bb4d936cd2df2fb91200c082bc9051gigr8,qvhei,home goods,phone79,9708684473684210,ng,225.236.81.16,vasstdc27m7nks3
6780609,47460568c86af7e3ef030ab7c892a25b52gnu,cxrrg,mobile,phone4,9704435684210526,id,205.102.163.187,vasstdc27m7nks3
4071495,3350dc181383b032a6542a61c67713f9lmevm,ii15c,mobile,phone4,9640510052631578,id,77.59.77.3,vasstdc27m7nks3
6924290,13b022681839a351f07d017c0edd9ed6ao2w5,no958,jewelry,phone15,9704966631578947,sn,85.4.161.66,vasstdc27m7nks3
364666,cffb5f3c1f4ca815d0f643fcb2f2f316beod4,t4iav,jewelry,phone3023,9761073736842105,us,30.118.253.132,wc9eip9vhjyz7yz
4632322,f5b2bbad20d1d7ded3ed960393bec0f40u6hn,6bz5z,sporting goods,phone4,9642381368421052,id,27.247.25.77,vasstdc27m7nks3
6137359,ac2d643e0c0d3bfe8e54e5a961c6cfdb5xn9v,436hc,furniture,phone1242,9700496368421052,id,228.186.246.80,i3043xvgwyt7duf
6342984,13b022681839a351f07d017c0edd9ed6ao2w5,nkvoj,jewelry,phone305,9701569052631578,ng,127.247.172.237,k2ugxmqrh7i5ul6
4373603,0053b78cde37c4384a20d2da9aa4272aym4pb,g2s0j,mobile,phone17,9641407684210526,us,15.136.40.115,nd2rfg03w7p6ynz
673387,862eef3a75e1351593b54975cd8ae1b3swcxw,xbxj6,mobile,phone159,9763209210526315,id,161.206.22.114,22iy8th6qpzfh3e
1030104,990db0dcdb665fb8fda5845b3e5d63082mbqq,x8580,home goods,phone1457,9764689842105263,sv,237.130.159.31,vasstdc27m7nks3
3367716,3d203a8df1611a9799e0560dc98a78a9nz0ix,jqx39,jewelry,phone17,9636661578947368,in,241.117.150.250,3kl7nmo8kqhu7gv
6447997,e6e96a71bef8c380805ab407604bc2eau6vm0,gzzxn,mobile,phone2166,9702558684210526,tw,94.77.24.125,2ep950djhr8kdh6
1037952,6362c8d61774cfcb6ada7cea1be63678hxkfz,en46r,jewelry,phone110,9764730263157894,us,89.66.2.166,4b2d3cb7wop8o7d
6591983,6456f47568ffea72878ee3d3a45cbc4aj4t28,c441l,home goods,phone45,9703444842105263,tr,127.222.163.221,vasstdc27m7nks3
4780325,ab109c5123c745d6328ad0b0e4ebde092hzdv,9t11u,mobile,phone224,9643525736842105,in,60.108.209.213,1kcwhvmob6kle9t
5990024,ac2d643e0c0d3bfe8e54e5a961c6cfdb5xn9v,obbny,furniture,phone2,9699957368421052,vn,34.127.137.126,0z8g3z9uf3ywaye
3500457,197e90906939267ace2422e78e8e83889znqp,no958,home goods,phone101,9637089421052631,ng,127.247.172.237,vasstdc27m7nks3
1124041,cd6e029b117d7a9bf6f80da82ff3e8312lksr,6ozff,mobile,phone2,9765380578947368,th,86.200.121.249,ky2ewwzaztm1ap0
2624119,13b022681839a351f07d017c0edd9ed6ao2w5,8aa4q,jewelry,phone101,9632736263157894,za,36.180.223.146,avev3z7hecp82pd
1719500,de55942423fb03bfc82c1ecbbb685fb1effg6,yb4ny,mobile,phone30,9768837421052631,ng,68.171.95.214,vasstdc27m7nks3
3261693,f5b2bbad20d1d7ded3ed960393bec0f40u6hn,rsjeu,sporting goods,phone766,9636356052631578,in,237.178.186.34,41epgguiypt9eb0
708400,afc65a97769ad735c0177058848c085ckqgvd,qcppg,sporting goods,phone1,9763435315789473,in,171.142.227.68,qe2z14i2zg0teh4
5857659,44bfa21b7d497f097a594c8861d4f8d4w5e97,f7q20,mobile,phone453,9699238263157894,in,174.189.89.211,vasstdc27m7nks3
7319635,29c103503e1d6ace5626fb07a5ab0dafrtjvs,w3fy7,jewelry,phone53,9707438894736842,in,156.95.72.185,i0empev6i3opjv6
721072,dd055846eb553ab8e953b084f2048d53bdqec,iikzq,mobile,phone564,9763516000000000,ua,150.94.246.20,vasstdc27m7nks3
7294336,197e90906939267ace2422e78e8e83889znqp,no958,home goods,phone45,9707292526315789,mz,246.176.47.244,vasstdc27m7nks3
1699762,a58ace8b671a7531c88814bc86b2a34cf0crb,4c3mb,sporting goods,phone4,9768777473684210,id,232.192.233.182,vasstdc27m7nks3
6622725,ddb84e20f787c4b840705df9cdec7a8e3nlj7,2vkwu,mobile,phone65,9703608157894736,tw,74.97.92.55,vasstdc27m7nks3
5400728,c5a16038be7bf3afe8be14d61620df814bgx9,jqx39,jewelry,phone65,9696145368421052,id,113.236.115.37,pe81dkk15tv311n
6806594,8322695c21cb27accf0fe269438bd78fn3x44,zl1ol,jewelry,phone93,9704561789473684,in,73.92.252.253,htfsilzi2ygkdlt
6582292,b6bfa8deb63f2b01683e6bb0d434919c7xohh,xp0a6,mobile,phone2287,9703391000000000,uk,15.118.126.107,vasstdc27m7nks3
1361528,49751ca502ec6b3a75de1ed1f96cfd50upx4i,jefix,jewelry,phone57,9767264157894736,vn,224.50.165.56,je6drzsun2sw5t7
6950976,f5b2bbad20d1d7ded3ed960393bec0f40u6hn,1ftck,sporting goods,phone297,9705056157894736,za,28.19.136.47,nb5hvdhwbqdwd6b
5536773,66bb4d936cd2df2fb91200c082bc9051gigr8,yx36u,home goods,phone4,9696805105263157,ng,105.144.126.10,vasstdc27m7nks3
6015472,286b2918b31824f141fb4ffbec79deaa7f1n0,jqx39,mobile,phone38,9700086210526315,in,190.245.119.8,7in6z6oqxpr726k
670510,46a28eaed47c29b4fd148a50cde44840u0bsn,whg3f,mobile,phone46,9763190578947368,es,200.69.204.48,vasstdc27m7nks3
7387818,29c103503e1d6ace5626fb07a5ab0dafrtjvs,nmqd7,jewelry,phone31,9707829789473684,ke,27.173.141.18,s795fu2tyns1pb5
5197041,39841fcbf6b6b35e4749e0488b4157e4fjsjz,du967,office equipment,phone212,9645449263157894,tr,84.245.82.48,vasstdc27m7nks3
1749294,8dac2b259fd1c6d1120e519fb1ac14fbqvax8,tvqxk,jewelry,phone4,9768938368421052,zw,188.125.163.2,vasstdc27m7nks3
6448837,197e90906939267ace2422e78e8e83889znqp,s1ud2,home goods,phone94,9702565157894736,vn,145.206.94.170,vasstdc27m7nks3
